FOLIO,CURP,NOMBRE DEL BENEFICIARIO,DIRECCION REGIONAL,MUNICIPIO,COLONIA/BARRIO,SECCION,LOCALIDAD,DOMICILIO,TELEFONO,TIPO DE APOYO,CANTIDAD,LATITUD PROYECTO,LONGITUD PROYECTO,ETAPA DEL TRAMITE,OBSERVACIONES DE GABINETE
STG-001,PRBA800101HQTXXX01,PRUEBA A,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0101,Villa Guerrero,Calle Uno 1,4420000001,CAA: REHABILITACIÓN DE BORDO,1,20.694500,-99.815300,Autorizado,Fila limpia de control
STG-002,PRBB800101HQTXXX02,PRUEBA B,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0102,Villa Guerrero,Calle Dos 2,4420000002,CAA: GEOMEMBRANA / GEOTEXTIL,2,20.695100,-99.814200,Autorizado,Fila limpia de control
STG-003,PRBC800101HQTXXX03,PRUEBA C,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0103,Villa Guerrero,Calle Tres 3,4420000003,CAA: REHABILITACIÓN DE BORDO,1,20.696000,-99.813100,Dictaminado,Folio repetido en el archivo de origen
STG-003,PRBD800101HQTXXX04,PRUEBA D,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0104,Villa Guerrero,Calle Cuatro 4,4420000004,CAA: REHABILITACIÓN DE BORDO,1,20.697000,-99.812000,Dictaminado,Folio repetido en el archivo de origen
STG-005,PRBX800101HQTXXX05,PRUEBA E,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0105,Villa Guerrero,Calle Cinco 5,4420000005,CAA: REHABILITACIÓN DE BORDO,1,20.698000,-99.811000,Autorizado,Misma CURP y mismo concepto
STG-006,PRBX800101HQTXXX05,PRUEBA F,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0106,Villa Guerrero,Calle Seis 6,4420000006,CAA: REHABILITACIÓN DE BORDO,1,20.699000,-99.810000,Autorizado,Misma CURP y mismo concepto
STG-007,PRBY800101HQTXXX07,PRUEBA G,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0107,Villa Guerrero,Calle Siete 7,4420000007,CAA: REHABILITACIÓN DE BORDO,1,20.700000,-99.809000,Autorizado,Misma CURP con concepto distinto
STG-008,PRBY800101HQTXXX07,PRUEBA H,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0108,Villa Guerrero,Calle Ocho 8,4420000008,CAA: GEOMEMBRANA / GEOTEXTIL,3,20.701000,-99.808000,Autorizado,Misma CURP con concepto distinto
STG-009,PRBI800101HQTXXX09,PRUEBA I,Cadereyta,Cadereyta de Montes,,0109,Villa Guerrero,Calle Nueve 9,4420000009,CAA: REHABILITACIÓN DE BORDO,1,20.702000,-99.807000,Autorizado,Sin colonia en el archivo de origen
STG-010,PRBJ800101HQTXXX10,PRUEBA J,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0110,Villa Guerrero,Calle Diez 10,4420000010,CAA: REHABILITACIÓN DE BORDO,1,,,Autorizado,Sin coordenadas de proyecto
STG-011,PRBK800101HQTXXX11,PRUEBA K,Cadereyta,Cadereyta de Montes,Barrio de la Cruz,0111,Villa Guerrero,Calle Once 11,4420000011,APOYO INEXISTENTE PARA PRUEBA,1,20.703000,-99.806000,Autorizado,Concepto fuera del catalogo vigente
STG-012,PRBL800101HQTXXX12,PRUEBA L,Cadereyta,Cadereyta de Montes,,0112,Villa Guerrero,Calle Doce 12,4420000012,CAA: GEOMEMBRANA / GEOTEXTIL,2,,,Autorizado,Sin colonia y sin coordenadas
